Abate	アバーテ
De Roberto	デ・ロベルト
De Rossi	デ・ロッシ
De Sabata	デ・サバタ
De Sanctis	デ・サンクティス
De Santis	デ・サンティス
De Seta	デ・セータ
De Sica	デ・シーカ
De Vita	デ・ヴィータ
Deangelis	デアンジェリス
Degani	デガーニ
Del Corvo	デル・コルヴォ
Del Donno	デル・ドンノ
Del Mastro	デル・マストロ
Del Monaco	デル・モナコ
Del Pezzo	デル・ペッツォ
Del Testa	デル・テスタ
Del Vecchio	デル・ヴェッキオ
Deledda	デレッダ
Dell'Acqua	デラックワ
Dell'Orefice	デッロレフィチェ
Della Casa	デッラ・カーザ
Dellasega	デッラセーガ
Delle Piane	デッレ・ピアーネ
Delminio	デルミーニオ
Delneri	デルネーリ
Delrio	デルリオ、デルリーオ
Deluca	デルカ
Delvecchio	デルヴェッキオ
Demarchi	デマルキ
Demarco	デマルコ
Demartini	デマルティーニ
Demartino	デマルティーノ
Demuro	デムーロ
Dentella	デンテッラ
Denza	デンツァ
Deodato	デオダート
Derossi	デロッシ
Desantis	デサンティス
Desderi	デズデーリ
Dessi	デッシ
Di Bello	ディ・ベッロ
Di Biagio	ディ・ビアージョ
Di Buono	ディ・ブオノ
Di Canio	ディ・カーニオ
Di Centa	ディ・チェンタ
Di Cicco	ディ・チッコ
Di Cioccio	ディ・チョッチョ
Di Francescantonio	ディ・フランチェスカントニオ
Di Giacomo	ディ・ジャコモ
Di Gioia	ディ・ジョイア
Di Giorgio	ディ・ジョルジョ
Di Monte	ディ・モンテ
Di Nanni	ディ・ナンニ
Di Palma	ディ・パルマ
Di Pinto	ディ・ピント
Di Riso	ディ・リーゾ
Di Roberto	ディ・ロベルト
Di Stefano	ディ・ステーファノ
Di Vaio	ディ・ヴァイオ
Diaco	ディアーコ
Dibella	ディベッラ
Dibenedetto	ディベネデット
Digiacomo	ディジャコモ
Dimatteo	ディマッテオ
Dini	ディーニ
Dionisi	ディオニージ
Dionisotti	ディオニゾッティ
Disraeli	ディズラエリ
Dolce	ドルチェ
Domeniconi	ドメニコーニ
Dominici	ドミニチ
Donadoni	ドナドーニ
Donati	ドナーティ
Donato	ドナート
Donatoni	ドナトーニ
Donizetti	ドニゼッティ
Dossena	ドッセーナ
Dossi	ドッシ
Dotti	ドッティ
Dovizioso	ドヴィツィオーゾ
Draghi	ドラーギ
Dragonetti	ドラゴネッティ
Drei	ドレイ
Droetto	ドロエット
Drovandi	ドロヴァンディ
Ducci	ドゥッチ
Dulbecco	ドゥルベッコ
Duni	ドゥーニ
Durante	ドゥランテ
Eco	エーコ
Einaudi	エイナウディ
Emili	エミリ
Epifani	エピファーニ
Epifanio	エピファーニオ
Ercolani	エルコラーニ
Ermanno	エルマンノ
Ermini	エルミーニ
Errico	エリーコ
Esposito	エスポージト
Esposti	エスポスティ
Eustachio	エウスターキオ
Evangelista	エヴァンジェリスタ
Evangelisti	エヴァンジェリスティ
Ezechiele	エゼキエーレ
Fabbri	ファッブリ
Fabiani	ファビアーニ
Facchetti	ファッケッティ
Facchinetti	ファッキネッティ
Facchini	ファッキーニ
Faccio	ファッチョ
Fadini	ファディーニ
